Count,Code,Description,Retail,Date,Cost,Supplier,Book,Total,Category,,,,,,,,
16,,2.7k ohm 4 watt,,,,,$0.35,$5.60,14,,,,,,,,
4,,2.7k ohm 5 watt,,,,,$0.35,$1.40,14,,,,,,,,
1,,2.7k ohm 7 watt,,,,,$0.65,$0.65,14,,,,,,,,
18,,2.7k ohm 2 watt,,,,,$0.25,$4.50,14,,,,,,,,
3,,2.2m ohm 2W metal focus,,,,TESA,$0.74,$2.22,14,,,,,,,,
20,,2.2m ohm 1/2 watt,,,,,$0.06,$1.20,14,,,,,,,,
1,,2.2m ohm 2 watt,,,,,$0.65,$0.65,14,,,,,,,,
5,,3.3 ohm 2 watt (mostly used),,,,,$0.35,$1.75,14,,,,,,,,
5,,200 ohm 5W carbon film,,,$0.60,eBay,$0.00,$0.00,14,,,,,,,,
2,,3.3 ohm 1 watt,,,,,$0.17,$0.34,14,,,,,,,,
2,,30m ohm focus,,,$1.81,,$0.20,$0.40,14,,,,,,,,
1,R2W-33E,33 ohm 2 watt,,,,TESA,$0.49,$0.49,14,,,,,,,,
,,,,,,,$0.00,$0.00,14,,,,,,,,
72,,330 ohm 2 watt,,,,,$0.25,$18.00,14,,,,,,,,
6,,330k ohm 2 watt,,,,TDON,$0.45,$2.70,14,,,,,,,,
1,,330k ohm 1 watt metal,,,,,$0.16,$0.16,14,,,,,,,,
7,,330k ohm 2 watt,,,,,$0.25,$1.75,14,,,,,,,,
6,,3m3 0.67W,,,$0.00,,$0.00,$0.00,14,,,,,,,,
1,,33k ohm 7 watt,,,,,$0.65,$0.65,14,,,,,,,,
5,,390 ohm 1/2 watt,,,,,$0.06,$0.30,14,,,,,,,,
4,,390k ohm 2 watt metal,,,,TDON,$0.45,$1.80,14,,,,,,,,
,,33k 1/2 watt - bulk older - see IC containers,,,,,,$0.00,14,,,,,,,,
40,,3.3k ohm 1 watt,,,,,$0.16,$6.40,14,,,,,,,,
,,,,,,,$0.00,$0.00,14,,,,,,,,
1,,3.3k ohm 7 watt,,,,,$0.65,$0.65,14,,,,,,,,
1,,3.9k ohm 1/2 watt metal,,,,,$0.16,$0.16,14,,,,,,,,
10,,3.9k ohm 1/2 watt,,,,,$0.06,$0.60,14,,,,,,,,
10,R1210,2.2 ohm 1/2 watt,$0.30,30/10/2004,$0.11,D/S,$0.11,$1.10,14,,,,,,,,
24,,3.3m ohm 1/2 watt,,,,,$0.06,$1.44,14,,,,,,,,
15,,3.3m ohm 1 watt,,,,,$0.17,$2.55,14,,,,,,,,
0,,,,,,,$0.00,$0.00,14,,,,,,,,
6,R1442,47 ohm 1 watt,,,,D/S,$0.11,$0.66,14,,,,,,,,
46,,470k ohm 1/2 watt,,,,,$0.06,$2.76,14,,,,,,,,
3,,47k ohm 1/2 watt,,,,,$0.06,$0.18,14,,,,,,,,
65,,47k ohm 1 watt,,,,,$0.17,$11.05,14,,,,,,,,
1,RWWC4R7J,4.7 ohm 5 watt,,8/08/2011,$0.60,T/T,$0.60,$0.60,14,,,,,,,,
36,,4.7k ohm 5 watt,,,,Elcoma,$0.35,$12.60,14,,,,,,,,
3,,4.7m ohm focus,,,,,$0.49,$1.47,14,,,,,,,,
4,,VDR Zinc Oxide Varistor 250VAC 60J 2500A 10mm,,8/06/2013,$0.25,eBay,$0.00,$0.00,14,,,,,,,,
88,,470 ohm 1W metal ,$0.40,11/08/2016,$0.03,eBay,$0.00,$0.00,14,,,,,,,,
16,,560 ohm 7 watt,,,,,$0.65,$10.40,14,,,,,,,,
10,,560 ohm 5 watt,,,,,$0.35,$3.50,14,,,,,,,,
9,,25C 5 Ohm NTC 5D-11 Thermistor 4 Amp,,30/01/2013,$0.25,eBay,$0.00,$0.00,14,,,,,,,,
19,,56 ohm 1/2W metal,$0.40,1/06/2016,$0.10,eBay,$0.00,$0.00,14,,,,,,,,
66,,5.6k ohm 2 watt,,,,,$0.25,$16.50,14,,,,,,,,
1,,5.6k ohm 1/2 watt,,,,,$0.06,$0.06,14,,,,,,,,
6,,5.6m ohm 1/2 watt,,,,,$0.06,$0.36,14,,,,,,,,
23,,6.8 ohm 1/2 watt,,,,,$0.06,$1.38,14,,,,,,,,
1,,6.8 ohm 1 watt,,,,,$0.17,$0.17,14,,,,,,,,
2,,6.8 ohm 20 watt,,,,,$2.03,$4.06,14,,,,,,,,
1,,68 ohm 1/2 watt,,,,,$0.06,$0.06,14,,,,,,,,
41,,680 ohm 1/2 watt,,,,,$0.06,$2.46,14,,,,,,,,
257,,680 ohm .5% black,,,$0.16,,$0.06,$15.42,14,,,,,,,,
3,,680k ohm 2 watt,,,,,$0.25,$0.75,14,,,,,,,,
58,,68k ohm 1/2 watt,,,,,$0.06,$3.48,14,,,,,,,,
5,,82 ohm 1 watt,,,,,$0.17,$0.85,14,,,,,,,,
1,,82 ohm 2 watt,,,,,$0.25,$0.25,14,,,,,,,,
63,,820 ohm 1/2 watt,,,,,$0.06,$3.78,14,,,,,,,,
3,,820k ohm 1/2 watt,,,,,$0.06,$0.18,14,,,,,,,,
1,,8.2k ohm 1/2 watt,,,,,$0.06,$0.06,14,,,,,,,,
4,R1797,thermistor,,,,,$2.10,$8.40,14,,,,,,,,
1,,VDR 250V -593 - 8mm,,,,Elcoma,$0.52,$0.52,14,,,,,,,,
1,,100k dual splined large pot,,3/08/2007,$1.00,D/S,$1.00,$1.00,16,,,,,,,,
4,,100 ohm miniature horizontal preset,,,,,$0.50,$2.00,16,,,,,,,,
1,,100 ohm wire wound preset - used,,,$4.00,,$0.10,$0.10,16,,,,,,,,
3,,100k ohm dual splined pot,,,$4.50,,$1.00,$3.00,16,,,,,,,,
18,,100k ohm 20 turn preset,,,$1.50,,$0.10,$1.80,16,,,,,,,,
15,R6834,10k ohm dual linear pot,,,$2.31,,$1.00,$15.00,16,,,,,,,,
20,SP207,10k ohm dual linear pot splined small,,,,TESA,$0.30,$6.00,16,,,,,,,,
5,,10k ohm linear dual pot,,,$4.50,,$1.00,$5.00,16,,,,,,,,
1,,10k ohm linear dual pot,,,$3.55,,$1.00,$1.00,16,,,,,,,,
6,,10k ohm medium horizontal preset,,,,,$0.55,$3.30,16,,,,,,,,
2,,10k ohm medium vertical preset,,,,,$0.55,$1.10,16,,,,,,,,
1,,10k ohm miniature horizontal preset,,,,,$0.77,$0.77,16,,,,,,,,
1,,10k ohm miniature vertical preset,,,,,$0.50,$0.50,16,,,,,,,,
8,,10k ohm linear dual splined pot,,,$2.20,,$1.00,$8.00,16,,,,,,,,
1,,10k ohm single log splined pot,,,,,$1.18,$1.18,16,,,,,,,,
89,PTN010,10k ohm single linear pot - small size,,,,KJP,$0.50,$44.50,16,,,,,,,,
30,SP207,10KA + 10KB + SW car stereo,,,$0.30,TESA,$0.10,$3.00,16,,,,,,,,
1,,1k ohm large vertical preset,,,,,$0.55,$0.55,16,,,,,,,,
19,,1k ohm slider,,,$1.50,,$0.50,$9.50,16,,,,,,,,
,,,,,,,$0.00,$0.00,16,,,,,,,,
4,,1m ohm miniature horizontal preset,,,,Elcoma,$0.24,$0.96,16,,,,,,,,
,,,,,,,$0.00,$0.00,16,,,,,,,,
6,,1m ohm miniature horizontal preset,,,,,$0.82,$4.92,16,,,,,,,,
14,,200 ohm copal preset,,,,,$1.19,$16.66,16,,,,,,,,
35,,1k mini horizontal preset,$0.70,18/01/2016,$0.18,eBay,$0.00,$0.00,16,,,,,,,,
2,,20k ohm slider pot,,,$8.80,,$1.00,$2.00,16,,,,,,,,
4,,220 ohm medium horizontal preset,,,,,$0.55,$2.20,16,,,,,,,,
6,,5k linear single splined pot +1 used,$1.50,16/08/2016,$0.28,eBay,$0.00,$0.00,16,,,,,,,,
3,,220k ohm medium horizontal preset,,,,,$0.55,$1.65,16,,,,,,,,
1,,22k ohm medium horizontal preset,,,,,$0.55,$0.55,16,,,,,,,,
9,R7563,250k ohm linear single splined pot,,,$2.81,D/S,$1.00,$9.00,16,,,,,,,,
1,,2k ohm medium horizontal preset,,,,,$0.55,$0.55,16,,,,,,,,
1,,2k ohm slider pot,,,,,$0.25,$0.25,16,,,,,,,,
52,,2.2k ohm large horizontal preset,,,$0.55,,$0.10,$5.20,16,,,,,,,,
4,,2.2k ohm medium horizontal preset,,,,,$0.55,$2.20,16,,,,,,,,
2,,2.5k ohm medium vertical preset,,,,,$0.55,$1.10,16,,,,,,,,
4,,30k ohm miniature vertical variable resistor,,,,,$0.55,$2.20,16,,,,,,,,
3,,47k ohm medium horizontal preset,,,,,$0.55,$1.65,16,,,,,,,,
2,,47k ohm large horizontal preset,,,,,$0.55,$1.10,16,,,,,,,,
2,,47k ohm large vertical preset,,,,,$0.55,$1.10,16,,,,,,,,
1,,4.7k ohm large horizontal preset,,,,,$0.55,$0.55,16,,,,,,,,
5,,4.7k ohm medium horizontal preset ,,,,,$0.55,$2.75,16,,,,,,,,
2,,4.7k ohm miniature horizontal preset,,,,,$0.50,$1.00,16,,,,,,,,
3,,4.7m ohm large horizontal preset,,,,,$1.09,$3.27,16,,,,,,,,
1,P1764,"20k ohm dual lin pot, large, spline.",$6.00,26/08/2004,$2.50,D/S,$2.50,$2.50,16,,,,,,,,
67,,50k ohm slider pot,,,,,$0.25,$16.75,16,,,,,,,,
,,,,,,,$0.00,$0.00,16,,,,,,,,
7,,5k ohm medium vertical preset,,,,,$0.55,$3.85,16,,,,,,,,
5,,20k linear single splined pot,,10/05/2018,$0.40,eBay,$0.00,$0.00,16,,,,,,,,
5,,500k linear single splined pot,,10/05/2018,$0.30,eBay,$0.00,$0.00,16,,,,,,,,
,,,,,,,$0.00,$0.00,16,,,,,,,,
3,,50k linear single splined pot,,10/05/2018,$0.37,eBay,$0.00,$0.00,16,,,,,,,,
,,,,,,,$0.00,$0.00,16,,,,,,,,
1,,IRF540 N-Channel MOSFET 33A 100V,$2.40,10/05/2018,$0.58,eBay,$0.00,$0.00,2,,,,,,,,
100,,3.3 ohm 1/4 watt metal,,7/04/2020,$0.02,eBay,$0.02,$2.00,13,,,,,,,,
100,,36 ohm 1/4 watt metal,,7/04/2020,,eBay,$0.02,$2.00,13,,,,,,,,
103,,MPSA55 PNP 60V .5A GP,,,$0.00,,$0.00,$0.00,1,,,,,,,,
113,,MD8002 NPN dual 50V 30mA,,,$0.00,,$0.00,$0.00,1,,,,,,,,
3,,2SD2560 Darl NPN 150V 15A,$8.50,16/08/2013,$3.63,,$3.63,$10.89,2,,,,,,,,
100,,4.7 ohm 1/4 watt metal,,7/04/2020,,eBay,$0.02,$2.00,13,,,,,,,,
37,,2k2 ohm 1/4 watt metal,,18/09/2013,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
79,,2k ohm 1/4 watt metal,,18/09/2013,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
2,,IRFB4321 HEXFET Power MOSFET 150V 85A,$4.00,5/11/2018,$1.00,eBay,$0.00,$0.00,,,,,,,,,
2,,22pf 500V silver mica,$3.50,10/12/2014,$1.46,eBay,$0.00,$0.00,12,,,,,,,,
1,AN7523,AN7523 sound output panasonic,$10.00,19/11/2004,$2.20,T/T,$2.20,$2.20,7,,,,,,,,
1,TDA8362B,TDA8362B goldstar jungle,$60.00,10/11/2004,$40.00,T/T,$1.00,$1.00,7,,,,,,,,
1,0ISO823402D,GS8234-02D goldstar micro,$70.00,2/11/2004,$48.57,Rankine,$1.00,$1.00,7,,,,,,,,
1,268P069O10,3171 optocoupler mitsubishi tv,$15.00,15/11/2004,$7.17,BDT,$0.00,$0.00,7,,,,,,,,
1,JV/SE130N,SE130 130V feedback reg mitsu tv,$11.00,8/11/2004,$6.75,TESA,$0.00,$0.00,7,,,,,,,,
80,,BAT54 Schottky Diodes SOT-23 PKG. 30V 200mA ,$0.30,7/12/2013,$0.03,eBay,$0.00,$0.00,4,,,,,,,,
50,,BAT54S Schottky Diodes SOT-23 PKG. 30V 200mA,$0.40,7/12/2013,$0.04,eBay,$0.00,$0.00,4,,,,,,,,
1,2SC3807,2SC3807 NPN 30V 2A TV P/S driver,$4.00,25/11/2005,$2.15,T/T,$2.15,$2.15,2,,,,,,,,
1,TDA8214B,TDA8214B vert IC,,8/12/2005,$36.19,TESA,$0.00,$0.00,7,,,,,,,,
1,TDA1013B,TDA1013B audio output IC,,6/12/2005,$5.63,T/T,$0.00,$0.00,7,,,,,,,,
2,,5uF 450V AC CBB61 polypropylene - motor start,$8.40,22/05/2020,$3.20,AliEx,$3.20,$6.40,12,,,,,,,,
1,SO/8-729-016-32,2SC4927 Sony LOPT for KVF29SF11,,24/07/2006,$19.58,TESA,$0.00,$0.00,2,,,,,,,,
100,,5.6 ohm 1/4 watt metal,,7/04/2020,,eBay,$0.02,$2.00,13,,,,,,,,
6,,2uF 450V AC CBB61 polypropylene - motor start,$6.50,22/05/2020,$1.10,AliEx,$1.10,$6.60,12,,,,,,,,
3,R1458,220 ohm 1 watt,$0.50,11/03/2008,$0.10,D/S,$0.10,$0.30,14,,,,,,,,
8,R1460,270 ohm 1 watt,$0.50,11/03/2008,$0.11,D/S,$0.11,$0.88,14,,,,,,,,
100,,6.8 ohm 1/4 watt metal,,7/04/2020,,eBay,$0.02,$2.00,13,,,,,,,,
4,Z4801,LDR,$3.20,25/03/2010,$1.76,,$1.76,$7.04,14,,,,,,,,
8,,white LED 3mm dome top super bright F3,$0.10,18/05/2019,$0.02,eBay,$0.00,$0.00,20,,,,,,,,
91,,2.2nF 1kV ceramic,$0.95,5/12/2016,$0.04,eBay,$0.00,$0.00,12,,,,,,,,
20,,100nF 630V CBB22 Metallized Film,$0.95,22/10/2020,$0.10,eBay,$0.10,$2.00,12,,,,,,,,
28,,100pF 1kV ceramic disk,$0.70,30/05/2017,$0.05,eBay,$0.00,$0.00,12,,,,,,,,
1,,220nF MKP10 Polypropylene 1000V dc 600V ac WIMA,$7.50,5/08/2016,$3.62,eBay,$0.00,$0.00,12,,,,,,,,
1,,2.2uF 250V Polypropylene CBB22,$1.80,27/08/2014,$0.42,eBay,$0.00,$0.00,12,,,,,,,,
300,,47 ohm 1/4 watt metal,,7/04/2020,,eBay,$0.02,$6.00,13,,,,,,,,
,,,,,,,$0.00,$0.00,12,,,,,,,,
2,,6uF 450V AC CBB61 polypropylene - motor start,$8.90,22/05/2020,$2.60,AliEx,$2.60,$5.20,12,,,,,,,,
7,,1000uF 16V 105 degrees,$0.90,4/05/2017,$0.10,eBay,$0.00,$0.00,11,,,,,,,,
15,,22uF 63V 105 degrees,$0.55,22/07/2016,$0.13,eBay,$0.00,$0.00,11,,,,,,,,
1,,8uF 450V AC CBB61 polypropylene - motor start,$9.40,22/05/2020,$2.90,AliEx,$2.90,$2.90,12,,,,,,,,
1,,10uF 450V AC CBB61 polypropylene - motor start,$9.80,22/05/2020,$3.10,AliEx,$3.10,$3.10,12,,,,,,,,
1,,12uF 450V AC CBB61 polypropylene - motor start,$10.40,22/05/2020,$3.30,AliEx,$3.30,$3.30,12,,,,,,,,
2,,22uF 200V 105 degrees,$1.80,2/08/2014,$0.40,eBay,$0.00,$0.00,11,,,,,,,,
40,,10uF 63V 105 degrees,$0.25,1/05/2017,$0.05,eBay,$0.00,$0.00,11,,,,,,,,
1,,4.7nF 500V silver mica (Russian military surplus),$2.65,17/12/2014,$0.65,eBay,$0.00,$0.00,12,,,,,,,,
2,,20uF 450V AC CBB61 polypropylene - motor start,$12.50,22/05/2020,$3.80,AliEx,$3.80,$7.60,12,,,,,,,,
5,,33uF 50V 105C Radial Electrolytic Capacitor 6x12,$0.65,31/12/2014,$0.12,eBay,$0.00,$0.00,11,,,,,,,,
10,,2.7nF 1250V 272K CBB 5%,$3.30,6/01/2015,$0.44,eBay,$0.00,$0.00,12,,,,,,,,
13,,47uF 63V 105 degrees,$0.55,22/07/2016,$0.13,eBay,$0.00,$0.00,11,,,,,,,,
0,,47nF 630V P10 CBB CL21 Metallized Film Capacitor,$0.85,22/01/2015,$0.17,eBay,$0.00,$0.00,12,,,,,,,,
44,,4.7uF 450V 105 degrees,$1.44,31/01/2015,$0.17,eBay,$0.17,$7.48,11,,,,,,,,
4,,470nF 630V CBB CBB21 Metallized Film,$3.20,3/02/2015,$0.50,eBay,$0.00,$0.00,12,,,,,,,,
,,,,,,,$0.00,$0.00,11,,,,,,,,
,,,,,,,$0.00,$0.00,12,,,,,,,,
1,,6800uF 25V 105 degrees,$5.75,20/05/2015,$1.05,eBay,$0.00,$0.00,11,,,,,,,,
19,,8.2k 1W metal,$0.40,5/06/2015,$0.08,eBay,$0.00,$0.00,14,,,,,,,,
19,,15k 1W metal,$0.40,5/06/2015,$0.08,eBay,$0.00,$0.00,14,,,,,,,,
19,,24k 1W metal,$0.40,5/06/2015,$0.08,eBay,$0.00,$0.00,14,,,,,,,,
15,,30k 1W metal,$0.40,5/06/2015,$0.08,eBay,$0.00,$0.00,14,,,,,,,,
19,,180k 1W metal,$0.40,5/06/2015,$0.08,eBay,$0.00,$0.00,14,,,,,,,,
0,,10nF 630V P10 Metallized Film,$0.80,16/07/2016,$0.12,eBay,$0.00,$0.00,12,,,,,,,,
7,,4580M audio dual low noise op-amp - surface mount,$2.50,5/06/2015,$0.43,eBay,$0.00,$0.00,8,,,,,,,,
95,,green LED 3mm dome top,$0.30,30/05/2018,$0.02,eBay,$0.00,$0.00,20,,,,,,,,
100,,yellow LED 3mm dome top,$0.30,30/05/2018,$0.02,eBay,$0.00,$0.00,20,,,,,,,,
0,,2SC4468 NPN 140V 10A,$4.20,14/07/2015,$1.36,eBay,$0.00,$0.00,2,,,,,,,,
0,,2SA1695 PNP 140V 10A,$4.20,14/07/2015,$1.36,eBay,$0.00,$0.00,2,,,,,,,,
0,,zener 5.6V 1N5339B 5W,$1.55,15/08/2015,$0.26,eBay,$0.00,$0.00,4,,,,,,,,
5,,TDA1905 5W audio amp,$6.50,14/09/2015,$1.62,eBay,$0.00,$0.00,6,,,,,,,,
45,,red LED 3mm dome top,$0.30,30/05/2018,$0.02,eBay,$0.00,$0.00,20,,,,,,,,
25,,red LED 3mm flat top,$0.30,23/05/2018,$0.04,eBay,$0.00,$0.00,20,,,,,,,,
85,,green LED 3mm flat top,$0.30,26/05/2018,$0.06,eBay,$0.00,$0.00,20,,,,,,,,
97,,yellow LED 3mm flat top,$0.15,26/05/2018,$0.05,eBay,$0.00,$0.00,20,,,,,,,,
3,,FQP17P06 P-Channel QFET? MOSFET 60V 17A,$10.50,7/08/2015,$2.63,eBay,$0.00,$0.00,2,,,,,,,,
4,,"B30H100G Switch?mode Power Rectifier 100 V, 30 A (double diode)",$13.40,7/08/2015,$3.36,eBay,$0.00,$0.00,4,,,,,,,,
9,,LM317T 1.5A adjustable voltage,$1.00,26/11/2015,$0.20,eBay,$0.00,$0.00,10,,,,,,,,
5,,DB107S 1000V 1A bridge surface mount,$0.60,20/01/2016,$0.14,eBay,$0.00,$0.00,4,,,,,,,,
,,,,,,,$0.00,$0.00,4,,,,,,,,
100,,blue LED 3mm dome top,$0.30,23/05/2018,$0.03,eBay,$0.00,$0.00,20,,,,,,,,
1,,BR3010 Bridge Rectifier 1000V 30A (metal case) ,$8.50,16/02/2016,$5.00,eBay,$0.00,$0.00,4,,,,,,,,
115,,10A10 diode 10A 1000V,$0.90,7/11/2016,$0.08,eBay,$0.00,$0.00,4,,,,,,,,
1,,TIC5200 (2SC5200) Toshiba NPN 230V 15A,$11.50,1/06/2016,$2.85,eBay,$0.00,$0.00,2,,,,,,,,
1,,TIA1943 (2SA1943) Toshiba PNP 230V 15A,$11.50,1/06/2016,$2.85,eBay,$0.00,$0.00,2,,,,,,,,
1,,2SC4793 NPN 230V 1A (1x used),$3.80,1/05/2016,$0.60,eBay,$0.00,$0.00,2,,,,,,,,
,,,,,,,$0.00,$0.00,2,,,,,,,,
,,,,,,,$0.00,$0.00,11,,,,,,,,
38,,blue LED 3mm flat top,$0.30,23/05/2018,$0.03,,$0.00,$0.00,20,,,,,,,,
3,,2N3773 NPN 160V 30A (ON),$7.50,31/10/2017,$0.58,eBay,$0.00,$0.00,3,,,,,,,,
2,,6800uF 16V 105 degrees,$5.50,29/07/2016,$1.84,eBay,$0.00,$0.00,11,,,,,,,,
2,,680uF 16V 105 degrees,$1.00,29/07/2016,$0.25,eBay,$0.00,$0.00,11,,,,,,,,
7,,22uF 50V 105 degrees,$0.45,29/07/2016,$0.07,eBay,$0.00,$0.00,11,,,,,,,,
,,,,,,,$0.00,$0.00,11,,,,,,,,
15,,4.7uF 50V 105 degrees,$0.40,2/08/2016,$0.07,eBay,$0.00,$0.00,11,,,,,,,,
5,,7812CT 12V regulator,$4.20,28/01/2017,$0.72,eBay,$0.00,$0.00,10,,,,,,,,
10,,7812CT 12V regulator,$4.20,2/02/2017,$0.34,eBay,$0.00,$0.00,10,,,,,,,,
0,,ULN2803APG Darlington Array,$1.25,9/01/2019,$0.25,eBay,$0.00,$0.00,6,,,,,,,,
1,,ZD1953 TSOP4136 IR receiver IC Centre frequency: 36kHz,$3.50,,$3.40,Jaycar,$3.40,$3.40,17,,,,,,,,
5,,TSOP4838 IR receiver IC 38kHz,$3.50,,$0.50,eBay,$0.50,$2.50,17,,,,,,,,
,,,,,,,$0.00,$0.00,20,,,,,,,,
0,,,,,$0.00,,$0.00,$0.00,20,,,,,,,,
,,,,,,,,"$3,738.52",,,,,,,,,
